Team,Threat Matrix,Vulnerability / Security Control,Description,Control Type,Risk Register,PDF Reference
AppSec,API Security,Input Validation,"Enforce strict validation on all API inputs to prevent injection attacks and invalid parameters. Validate strictly against the MCP schema and reject malformed, oversized, or out-of-specification requests.",Tool,Must-Have,p.33 (§4.1)
SRE,API Security,API Rate Limiting,"Implement per-user, per-agent, and per-session rate limits on tool invocations to prevent abuse or DoS attacks. Set timeouts and throttling for costly operations.",Tool,Must-Have,p.25 (§3.7); p.33 (§4.1)
AppSec,API Security,Output Encoding,Properly encode and sanitize API outputs before surfacing to model context. Strip markup and validate structured fields to prevent format-embedded poisoning.,Process,Must-Have,p.21 (§3.4); p.36 (§4.3)
DevSecOps,Server Authentication & Authorization,Access Control,"Implement role-based access control (RBAC) and attribute-based access control (ABAC), limit resource access, and enforce the principle of least privilege. Use policy engines such as Open Policy Agent or Cedar.",Tool,Must-Have,p.38-39 (§4.5)
Platform Engineering,Server Authentication & Authorization,Credential Management,Securely manage and store service credentials; avoid hard-coded secrets and use key management services. Adopt a secret-broker pattern — tools obtain short-lived credentials from a vault at call time. Rotate automatically.,Tool,Must-Have,p.36 (§4.3); p.22 (§3.5)
AppSec,Server Authentication & Authorization,External Service Authentication,Use secure methods when authenticating with third-party services. Enforce OAuth 2.1 with audience-bound scoped tokens; forbid token passthrough to downstream APIs.,Process,Must-Have,p.7-8 (§2.1); p.38 (§4.5)
DevSecOps,Server Authentication & Authorization,Least Privilege,Run service processes with the minimum required permissions. Issue narrowly scoped OAuth tokens per tool invocation; tokens should expire after the task completes.,Process,Must-Have,p.33 (§4.2); p.38 (§4.5)
Platform Engineering,Server Authentication & Authorization,API Key Rotation,"Automatically rotate API keys and service credentials periodically, limiting the valid timeframe. Segment across distinct wallets or accounts with spending limits for high-risk tools.",Process,Must-Have,p.36 (§4.3); p.22 (§3.5)
AppSec,Server Authentication & Authorization,Service Identity Authentication,Provide a mechanism for clients to verify the server's identity using PKI or cryptographic attestation. Enforce TLS certificates; reject self-signed or mismatched identities; implement mutual TLS.,Tool,Must-Have,p.14-15 (§3.1); p.37-38 (§4.4)
Platform Engineering,Background Persistence Control,Lifecycle Management,"Implement strict lifecycle management for MCP plugins and coordinate with the client. Ensure graceful termination, token invalidation, and resource cleanup at shutdown.",Process,Must-Have,p.10 (§2.2); p.24 (§3.6)
Platform Engineering,Background Persistence Control,Shutdown Cleanup,"Forcefully clean up all MCP background processes, active sessions, access tokens, and API keys when the client shuts down. Invalidate all credentials to prevent orphaned session abuse.",Process,Must-Have,p.10 (§2.2); p.24 (§3.6)
SRE,Background Persistence Control,Health Check Mechanism,"Regularly check the status of MCP plugins to detect abnormal persistence, stale connections, or configuration drift.",Tool,Nice-to-Have,p.26 (§3.8)
SRE,Background Persistence Control,Background Activity Monitoring,"Monitor and log all MCP background activities, tool invocations, and context updates using structured telemetry sent to a SIEM.",Tool,Must-Have,p.40 (§4.6)
Platform Engineering,Background Persistence Control,Activity Restrictions,Limit the operations and duration that MCP plugins can perform in the background. Enforce quotas and rate limits to prevent resource exhaustion.,Process,Must-Have,p.25 (§3.7); p.33 (§4.1)
DevSecOps,Deployment & Runtime Security,Isolation Environment,"Server runs in an isolated environment (container, VM, or sandbox) to prevent escape and mitigate lateral movement. Run as non-root; mount root filesystem read-only; apply seccomp and AppArmor profiles.",Tool,Must-Have,p.25 (§3.7); p.34-35 (§4.3)
Platform Engineering,Deployment & Runtime Security,Container Security,"Adopt hardened container security configurations and run containers as non-root users. Employ immutable infrastructure, runtime protection, signed images, and Kubernetes Pod Security Standards.",Tool,Must-Have,p.25 (§3.7); p.34-35 (§4.3)
DevSecOps,Deployment & Runtime Security,Secure Boot,Validate service boot processes implementing secure boot chains and integrity checks. Verify image signatures via Cosign/Sigstore before deployment.,Tool,Must-Have,p.37-38 (§4.4)
DevSecOps,Deployment & Runtime Security,Environment Variable Security,"Protect sensitive environment variables and ensure they are not exposed in logs, traces, or model context. Use a secret broker pattern; pass only opaque handles to tools.",Process,Must-Have,p.36 (§4.3); p.22 (§3.5)
