Here is the complete scannable table mapping each AgentCore Feature to its corresponding MCP Use-caseguidance from the updated dataset:,
,
AgentCore Feature / Context,MCP Use-case Guidance
MCP Tool Gateway (Tool Invocation),"Use TrueFoundry MCP Gateway as the single MCP control plane for all agent-to-tool traffic. Register your Lambda functions and REST APIs as MCP targets inside AgentCore Gateway only if you are running a fully AWS-native agent stack on AgentCore Runtime. In a combined deployment, point all MCP clients (LangGraph / CrewAI / Strands agents) to TrueFoundry's unified MCP endpoint; configure AgentCore Gateway only for Lambda-backed tools that must stay within the AWS trust boundary. This avoids the $N \times M$ integration problem on both sides — agents talk to one endpoint, governance lives in one control plane."
Semantic Tool Search,"Use TrueFoundry MCP Registry as the authoritative tool-discovery index for all registered MCP servers across your enterprise. Disable or do not invoke AgentCore Gateway semantic search separately — if both gateways index the same tools, agents will get duplicate results and double the latency on tool/list calls. The MCP protocol's tools/list response is the surface where discovery happens; one gateway must own it."
Tool Composition(multiple sources $\rightarrow$one endpoint),"Use TrueFoundry Virtual MCP Servers to present role-scoped tool subsets to each agent team or application. For example: a Prior-Auth agent gets a Virtual MCP Server with only clinical-lookup and eligibility tools; a Claims agent gets a separate Virtual MCP Server with adjudication and payment tools. AgentCore Gateway composition is appropriate only when all composed tools are Lambda functions or OpenAPI specs that live exclusively in AWS — in that case register the AgentCore Gateway endpoint itself as one upstream MCP server inside TrueFoundry, keeping TrueFoundry as the outer control plane."
OpenAPI / Smithy $\rightarrow$MCP conversion,"Choose one converter per API — not both. Use TrueFoundry's OpenAPI-to-MCP conversion for internal REST APIs that need to be surfaced to all agent frameworks (cross-cloud, multi-framework). Use AgentCore Gateway's OpenAPI/Smithy converter when the API is an AWS-internal service (API Gateway / Lambda-backed) and the consuming agents run exclusively on AgentCore Runtime. TrueFoundry's converter adds input-schema validation at the gateway before forwarding to the server — a useful HIPAA safeguard for member-data APIs."
1-Click SaaS Integrations,"Register both catalogs as upstream MCP servers inside TrueFoundry's MCP Gateway — AgentCore's SaaS connectors (Salesforce / Jira / Zendesk) and TrueFoundry's DevOps servers (Sentry / Datadog / Confluence) become discoverable through a single MCP endpoint. Agents call one gateway; the gateway routes to the right pre-built server. This is the canonical pattern for solving MCP tool sprawl: one control plane, many upstream MCP server targets."
Inbound Agent Authentication(JWT / API Key),"Pick one inbound auth enforcement point for the MCP request path. If TrueFoundry is the outer MCP gateway, configure inbound JWT/OAuth validation there (OIDC against Okta / Azure Entra) and disable or skip a second validation inside AgentCore Gateway. The MCP authorization spec (OAuth 2.0 bearer token on every MCP call) is enforced once at the gateway that owns the MCP endpoint — not twice. For agents running on AgentCore Runtime calling tools through TrueFoundry's MCP Gateway, the Runtime issues the bearer token; TrueFoundry validates it."
Outbound Credential Exchange(OAuth / API Keys per tool),"Consolidate outbound credential injection into TrueFoundry's MCP Gateway Secret Groups. Register upstream MCP server credentials (Slack OAuth tokens, Salesforce API keys, Databricks tokens) once in TrueFoundry's Secret Groups; the gateway injects the right credential on each MCP tool call. Use AgentCore Identity's outbound OAuth only for Lambda targets that are invoked directly by AgentCore Runtime without going through TrueFoundry — for example, an internal claims-processing Lambda that is not registered as an MCP tool. This avoids credential sprawl across two secret stores."
